id	gender	masterCategory	subCategory	articleType	baseColour	season	year	usage	productDisplayName	brand	style	vibe	occasion	trend	image_url
900001	Men	Apparel	Topwear	Oversized T-Shirt	Black	Summer	2026	Casual	Noir Core Oversized Cotton T-Shirt	FIT.AI Studio	Streetwear	Confident	Daily	Oversized	https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?q=80&w=900&auto=format&fit=crop
900002	Women	Apparel	Topwear	Crop Top	White	Summer	2026	Casual	Cloud Ribbed Summer Crop Top	FIT.AI Studio	Minimal	Fresh	Daily	Clean Girl	https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?q=80&w=900&auto=format&fit=crop
900003	Men	Apparel	Bottomwear	Cargo Pants	Olive	Fall	2026	Casual	Urban Utility Olive Cargo Pants	North Thread	Streetwear	Utility	Travel	Gorpcore	https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=900&auto=format&fit=crop
900004	Women	Apparel	Dresses	Midi Dress	Red	Spring	2026	Party	Ruby Satin Evening Midi Dress	Aura Lane	Luxury	Elegant	Party	Satin	https://images.unsplash.com/photo-1524504388940-b1c1722653e1?q=80&w=900&auto=format&fit=crop
900005	Unisex	Footwear	Shoes	Sneakers	White	Summer	2026	Casual	White Everyday Court Sneakers	Stride Lab	Minimal	Clean	Daily	Retro Sneaker	https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=900&auto=format&fit=crop
900006	Men	Footwear	Shoes	Running Shoes	Blue	Summer	2026	Sports	AeroFlex Blue Performance Running Shoes	Stride Lab	Sporty	Energetic	Gym	Performance	https://images.unsplash.com/photo-1460353581641-37baddab0fa2?q=80&w=900&auto=format&fit=crop
900007	Women	Footwear	Shoes	Heels	Black	Winter	2026	Party	Black Sculpted Block Heels	Aura Lane	Luxury	Polished	Party	Quiet Luxury	https://images.unsplash.com/photo-1543163521-1bf539c55dd2?q=80&w=900&auto=format&fit=crop
900008	Unisex	Accessories	Bags	Tote Bag	Tan	Fall	2026	Casual	Tan Minimal Canvas Tote Bag	Carry Co	Minimal	Warm	College	Everyday Carry	https://images.unsplash.com/photo-1590874103328-eac38a683ce7?q=80&w=900&auto=format&fit=crop
900009	Women	Accessories	Bags	Handbag	Beige	Spring	2026	Formal	Beige Structured Mini Handbag	Aura Lane	Luxury	Soft	Brunch	Quiet Luxury	https://images.unsplash.com/photo-1584917865442-de89df76afd3?q=80&w=900&auto=format&fit=crop
900010	Men	Accessories	Watches	Watch	Silver	Winter	2026	Formal	Silver Minimal Chronograph Watch	Minute Mode	Classic	Sharp	Office	Minimal	https://images.unsplash.com/photo-1523170335258-f5ed11844a49?q=80&w=900&auto=format&fit=crop
900011	Unisex	Accessories	Eyewear	Sunglasses	Black	Summer	2026	Casual	Black Angular Street Sunglasses	Shade Theory	Streetwear	Bold	Travel	Y2K	https://images.unsplash.com/photo-1511499767150-a48a237f0083?q=80&w=900&auto=format&fit=crop
